x1 = .01254
x2 = .03254
h  = .00002

X      | Y
.01708 | .999956369
.01710 | .999956310
.01712 | .999956131
.01714 | .999956012
.01716 | .999956012
.01718 | .999955833
.01720 | .999955773
.01722 | .999955714
.01724 | .999955654
.01726 | .999955475
.01728 | .999955356
.01730 | .999955356
.01732 | .999955177
.01734 | .999954998
.01736 | .999955058
.01738 | .999954879
.01740 | .999954820
.01742 | .999954700
.01744 | .999954581
.01746 | .999954522
.01748 | .999954402
.01750 | .999954283
.01752 | .999954224
.01754 | .999954104
.01756 | .999954104
.01758 | .999953926
.01760 | .999953806
.01762 | .999953806
.01764 | .999953628
.01766 | .999953508
.01768 | .999953508
.01770 | .999953330
.01772 | .999953210
.01774 | .999953091
.01776 | .999953032
.01778 | .999952912
.01780 | .999952793
.01782 | .999952793
.01784 | .999952614
.01786 | .999952555
.01788 | .999952495
.01790 | .999952316
.01792 | .999952257
.01794 | .999952078
.01796 | .999952078
.01798 | .999951959
.01800 | .999951839
.01802 | .999951661
.01804 | .999951720
.01806 | .999951541
.01808 | .999951422
.01810 | .999951243
.01812 | .999951303
.01814 | .999951124
.01816 | .999951005
.01818 | .999950886
.01820 | .999950886
.01822 | .999950707
.01824 | .999950647
.01826 | .999950469
.01828 | .999950349
.01830 | .999950349
.01832 | .999950230
.01834 | .999950111
.01836 | .999949992
.01838 | .999949872
.01840 | .999949872
.01842 | .999949753
.01844 | .999949574
.01846 | .999949515
.01848 | .999949396
.01850 | .999949217
.01852 | .999949276
.01854 | .999949098
.01856 | .999948978
.01858 | .999948919
.01860 | .999948740
.01862 | .999948621
.01864 | .999948621
.01866 | .999948502
.01868 | .999948382
.01870 | .999948263
.01872 | .999948144
.01874 | .999948025
.01876 | .999947965
.01878 | .999947786
.01880 | .999947667
.01882 | .999947667
.01884 | .999947548
.01886 | .999947488
.01888 | .999947369
.01890 | .999947190
.01892 | .999947131
.01894 | .999947011
.01896 | .999946892
.01898 | .999946773
.01900 | .999946654
.01902 | .999946535
.01904 | .999946475
.01906 | .999946296
.01908 | .999946237
.01910 | .999946237
.01912 | .999946058
.01914 | .999945998
.01916 | .999945879
.01918 | .999945760
.01920 | .999945700
.01922 | .999945581
.01924 | .999945462
.01926 | .999945343
.01928 | .999945223
.01930 | .999945164
.01932 | .999945045
.01934 | .999944925
.01936 | .999944806
.01938 | .999944687
.01940 | .999944627
.01942 | .999944508
.01944 | .999944389
.01946 | .999944329
.01948 | .999944210
.01950 | .999944031
.01952 | .999943912
.01954 | .999943793
.01956 | .999943733
.01958 | .999943554
.01960 | .999943435
.01962 | .999943376
.01964 | .999943256
.01966 | .999943197
.01968 | .999943078
.01970 | .999942958
.01972 | .999942899
.01974 | .999942780
.01976 | .999942660
.01978 | .999942601
.01980 | .999942362
.01982 | .999942303
.01984 | .999942183
.01986 | .999942064
.01988 | .999942005
.01990 | .999941885
.01992 | .999941826
.01994 | .999941707
.01996 | .999941468
